time,power,generation
43961.05208,0,0
43961.0625,0,0
43961.07292,0,0
43961.08333,0,0
43961.09375,0,0
43961.10417,0,0
43961.11458,0,0
43961.125,0,0
43961.13542,0,0
43961.14583,0,0
43961.15625,0,0
43961.16667,0,0
43961.17708,0,0
43961.1875,0,0
43961.19792,0,0
43961.20833,0.152,0
43961.21875,0.637,0.1
43961.22917,1.171,0.3
43961.23958,1.722,0.5
43961.25,2.46,0.6
43961.26042,3.536,0.9
43961.27083,5.061,1.3
43961.28125,7.171,1.8
43961.29167,9.479,2.4
43961.30208,11.654,2.9
43961.3125,14.369,3.7
43961.32292,16.796,4.2
43961.33333,19.535,4.9
43961.34375,21.885,5.6
43961.35417,23.921,6
43961.36458,25.89,6.6
43961.375,27.696,6.9
43961.38542,29.462,7.4
43961.39583,31.041,7.9
43961.40625,32.553,8.3
43961.41667,33.34,8.4
43961.42708,34.672,8.6
43961.4375,35.429,9
43961.44792,36.294,9.2
43961.45833,37.108,9.4
43961.46875,37.897,5.8
43961.47917,38.096,5.9
43961.48958,38.301,9.5
43961.5,37.98,9.6
43961.51042,38.098,9.7
43961.52083,37.842,9.6
43961.53125,37.677,9.5
43961.54167,37.048,9.2
43961.55208,36.456,6.2
43961.5625,35.185,8.3
43961.57292,34.134,8.7
43961.58333,32.969,8.4
43961.59375,31.394,7.7
43961.60417,30.081,7.7
43961.61458,28.339,7.2
43961.625,26.582,6.7
43961.63542,24.778,6.3
43961.64583,23.109,5.7
43961.65625,21.031,5.4
43961.66667,18.923,4.8
43961.67708,16.608,4.2
43961.6875,14.371,3.6
43961.69792,12.109,3.1
43961.70833,9.673,2.4
43961.71875,7.379,1.9
43961.72917,5.333,1.3
43961.73958,3.649,0.9
43961.75,2.495,0.7
43961.76042,1.723,0.4
43961.77083,1.184,0.3
43961.78125,0.633,0.2
43961.79167,0.242,0
43961.80208,0.118,0.1
43961.8125,0.05,0
43961.82292,0,0
43961.83333,0,0
43961.84375,0,0
43961.85417,0,0
43961.86458,0,0
43961.875,0,0
43961.88542,0,0
43961.89583,0,0
43961.90625,0,0
43961.91667,0,0
43961.92708,0,0
43961.9375,0,0
43961.94792,0,0
43961.95833,0,0
43961.96875,0,0
43961.97917,0,0
43961.98958,0,0
43962,0,0
43962.01042,0,0
43962.02083,0,0
43962.03125,0,0
43962.04167,0,0
43962.05208,0,0
43962.0625,0,0
43962.07292,0,0
43962.08333,0,0
43962.09375,0,0
43962.10417,0,0
43962.11458,0,0
43962.125,0,0
43962.13542,0,0
43962.14583,0,0
43962.15625,0,0
43962.16667,0,0
43962.17708,0,0
43962.1875,0,0
43962.19792,0,0
43962.20833,0,0
43962.21875,0.104,0
43962.22917,0.512,0.1
43962.23958,0.946,0.2
43962.25,1.455,0.4
43962.26042,1.827,0.5
43962.27083,2.513,0.6
