1.949,1.432,1.368,1.34,0.996,1.029,1.2
1.34,0.996,1.029,1.2,1.259,1.091,0.839
1.2,1.259,1.091,0.839,0.559,0.439,0.324
0.839,0.559,0.439,0.324,0.237,0.165,0.124
0.324,0.237,0.165,0.124,0.1,0.066,0.0
0.124,0.1,0.066,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.135,0.275,0.534
0.0,0.135,0.275,0.534,0.606,1.027,0.583
0.534,0.606,1.027,0.583,0.75,0.817,1.063
0.583,0.75,0.817,1.063,2.49,2.064,2.054
1.063,2.49,2.064,2.054,2.774,3.248,2.94
2.054,2.774,3.248,2.94,3.604,4.043,3.235
2.94,3.604,4.043,3.235,3.652,3.225,3.144
3.235,3.652,3.225,3.144,2.656,1.994,2.07
3.144,2.656,1.994,2.07,3.209,2.4,3.093
2.07,3.209,2.4,3.093,4.048,2.855,3.654
3.093,4.048,2.855,3.654,3.274,2.295,1.843
3.654,3.274,2.295,1.843,2.223,1.91,1.62
1.843,2.223,1.91,1.62,1.825,1.51,1.882
1.62,1.825,1.51,1.882,1.89,2.526,2.853
1.882,1.89,2.526,2.853,2.962,2.523,1.597
2.853,2.962,2.523,1.597,1.228,0.797,0.705
1.597,1.228,0.797,0.705,0.599,0.467,0.37
0.705,0.599,0.467,0.37,0.273,0.216,0.117
0.37,0.273,0.216,0.117,0.099,0.083,0.011
0.117,0.099,0.083,0.011,0.0,0.0,0.0
0.011,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.116,0.591
0.0,0.0,0.116,0.591,1.157,1.795,2.598
0.591,1.157,1.795,2.598,3.618,4.991,4.831
2.598,3.618,4.991,4.831,6.647,8.549,7.242
4.831,6.647,8.549,7.242,7.956,8.066,16.853
7.242,7.956,8.066,16.853,19.949,19.201,25.4
16.853,19.949,19.201,25.4,24.998,25.542,23.797
25.4,24.998,25.542,23.797,31.233,nan,34.055
23.797,31.233,nan,34.055,34.935,30.977,27.309
34.055,34.935,30.977,27.309,21.839,18.612,18.421
27.309,21.839,18.612,18.421,18.937,22.935,22.299
18.421,18.937,22.935,22.299,15.453,9.9,7.715
22.299,15.453,9.9,7.715,4.712,3.173,5.196
7.715,4.712,3.173,5.196,7.726,5.158,5.474
